Group	specimen_type	tisssue_type	mouse_ID	exposure
Control_AE_____03__________	Control	AE	3	
Control_AE_____04__________	Control	AE	4	
Control_Homog__01__________	Control	Homog	1	
Control_Homog__02__________	Control	Homog	2	
Control_Homog__03__________	Control	Homog	3	
Control_Isolat_01__________	Control	Isolat	1	
Control_Isolat_02__________	Control	Isolat	2	
Control_Isolat_03__________	Control	Isolat	3	
Control_Isolat_04__________	Control	Isolat	4	
Control_Mock___B___________	Control	Mock	B	
Control_MucCtl_02__________	Control	MucCtl	2	
Control_MucCtl_03__________	Control	MucCtl	3	
Dam_____Cecum__01_Normoxia_	Dam	Cecum	1	Normoxia
Dam_____Cecum__02_Normoxia_	Dam	Cecum	2	Normoxia
Dam_____Cecum__13_Hyperoxia	Dam	Cecum	13	Hyperoxia
Dam_____Cecum__14_Hyperoxia	Dam	Cecum	14	Hyperoxia
Dam_____Lung___01_Normoxia_	Dam	Lung	1	Normoxia
Dam_____Lung___02_Normoxia_	Dam	Lung	2	Normoxia
Dam_____Lung___13_Hyperoxia	Dam	Lung	13	Hyperoxia
Dam_____Mucus__01_Normoxia_	Dam	Mucus	1	Normoxia
Dam_____Mucus__02_Normoxia_	Dam	Mucus	2	Normoxia
Dam_____Mucus__13_Hyperoxia	Dam	Mucus	13	Hyperoxia
Dam_____Mucus__14_Hyperoxia	Dam	Mucus	14	Hyperoxia
Dam_____Tongue_01_Normoxia_	Dam	Tongue	1	Normoxia
Dam_____Tongue_02_Normoxia_	Dam	Tongue	2	Normoxia
Dam_____Tongue_13_Hyperoxia	Dam	Tongue	13	Hyperoxia
Dam_____Tongue_14_Hyperoxia	Dam	Tongue	14	Hyperoxia
Mouse___Cecum__03_Normoxia_	Mouse	Cecum	3	Normoxia
Mouse___Cecum__04_Normoxia_	Mouse	Cecum	4	Normoxia
Mouse___Cecum__05_Normoxia_	Mouse	Cecum	5	Normoxia
Mouse___Cecum__06_Normoxia_	Mouse	Cecum	6	Normoxia
Mouse___Cecum__07_Normoxia_	Mouse	Cecum	7	Normoxia
Mouse___Cecum__08_Normoxia_	Mouse	Cecum	8	Normoxia
Mouse___Cecum__09_Normoxia_	Mouse	Cecum	9	Normoxia
Mouse___Cecum__10_Normoxia_	Mouse	Cecum	10	Normoxia
Mouse___Cecum__11_Normoxia_	Mouse	Cecum	11	Normoxia
Mouse___Cecum__12_Normoxia_	Mouse	Cecum	12	Normoxia
Mouse___Cecum__15_Hyperoxia	Mouse	Cecum	15	Hyperoxia
Mouse___Cecum__16_Hyperoxia	Mouse	Cecum	16	Hyperoxia
Mouse___Cecum__17_Hyperoxia	Mouse	Cecum	17	Hyperoxia
Mouse___Cecum__18_Hyperoxia	Mouse	Cecum	18	Hyperoxia
Mouse___Cecum__19_Hyperoxia	Mouse	Cecum	19	Hyperoxia
Mouse___Cecum__20_Hyperoxia	Mouse	Cecum	20	Hyperoxia
Mouse___Cecum__21_Hyperoxia	Mouse	Cecum	21	Hyperoxia
Mouse___Cecum__22_Hyperoxia	Mouse	Cecum	22	Hyperoxia
Mouse___Cecum__23_Hyperoxia	Mouse	Cecum	23	Hyperoxia
Mouse___Lung___03_Normoxia_	Mouse	Lung	3	Normoxia
Mouse___Lung___04_Normoxia_	Mouse	Lung	4	Normoxia
Mouse___Lung___05_Normoxia_	Mouse	Lung	5	Normoxia
Mouse___Lung___06_Normoxia_	Mouse	Lung	6	Normoxia
Mouse___Lung___07_Normoxia_	Mouse	Lung	7	Normoxia
Mouse___Lung___08_Normoxia_	Mouse	Lung	8	Normoxia
Mouse___Lung___10_Normoxia_	Mouse	Lung	10	Normoxia
Mouse___Lung___11_Normoxia_	Mouse	Lung	11	Normoxia
Mouse___Lung___12_Normoxia_	Mouse	Lung	12	Normoxia
Mouse___Lung___15_Hyperoxia	Mouse	Lung	15	Hyperoxia
Mouse___Lung___16_Hyperoxia	Mouse	Lung	16	Hyperoxia
Mouse___Lung___17_Hyperoxia	Mouse	Lung	17	Hyperoxia
Mouse___Lung___19_Hyperoxia	Mouse	Lung	19	Hyperoxia
Mouse___Lung___20_Hyperoxia	Mouse	Lung	20	Hyperoxia
Mouse___Lung___21_Hyperoxia	Mouse	Lung	21	Hyperoxia
Mouse___Lung___22_Hyperoxia	Mouse	Lung	22	Hyperoxia
Mouse___Lung___23_Hyperoxia	Mouse	Lung	23	Hyperoxia
Mouse___Mucus__03_Normoxia_	Mouse	Mucus	3	Normoxia
Mouse___Mucus__04_Normoxia_	Mouse	Mucus	4	Normoxia
Mouse___Mucus__05_Normoxia_	Mouse	Mucus	5	Normoxia
Mouse___Mucus__06_Normoxia_	Mouse	Mucus	6	Normoxia
Mouse___Mucus__07_Normoxia_	Mouse	Mucus	7	Normoxia
Mouse___Mucus__08_Normoxia_	Mouse	Mucus	8	Normoxia
Mouse___Mucus__09_Normoxia_	Mouse	Mucus	9	Normoxia
Mouse___Mucus__10_Normoxia_	Mouse	Mucus	10	Normoxia
Mouse___Mucus__11_Normoxia_	Mouse	Mucus	11	Normoxia
Mouse___Mucus__12_Normoxia_	Mouse	Mucus	12	Normoxia
Mouse___Mucus__15_Hyperoxia	Mouse	Mucus	15	Hyperoxia
Mouse___Mucus__16_Hyperoxia	Mouse	Mucus	16	Hyperoxia
Mouse___Mucus__17_Hyperoxia	Mouse	Mucus	17	Hyperoxia
Mouse___Mucus__18_Hyperoxia	Mouse	Mucus	18	Hyperoxia
Mouse___Mucus__19_Hyperoxia	Mouse	Mucus	19	Hyperoxia
Mouse___Mucus__20_Hyperoxia	Mouse	Mucus	20	Hyperoxia
Mouse___Mucus__21_Hyperoxia	Mouse	Mucus	21	Hyperoxia
Mouse___Mucus__22_Hyperoxia	Mouse	Mucus	22	Hyperoxia
Mouse___Mucus__23_Hyperoxia	Mouse	Mucus	23	Hyperoxia
Mouse___Tongue_03_Normoxia_	Mouse	Tongue	3	Normoxia
Mouse___Tongue_04_Normoxia_	Mouse	Tongue	4	Normoxia
Mouse___Tongue_05_Normoxia_	Mouse	Tongue	5	Normoxia
Mouse___Tongue_06_Normoxia_	Mouse	Tongue	6	Normoxia
Mouse___Tongue_07_Normoxia_	Mouse	Tongue	7	Normoxia
Mouse___Tongue_08_Normoxia_	Mouse	Tongue	8	Normoxia
Mouse___Tongue_09_Normoxia_	Mouse	Tongue	9	Normoxia
Mouse___Tongue_10_Normoxia_	Mouse	Tongue	10	Normoxia
Mouse___Tongue_11_Normoxia_	Mouse	Tongue	11	Normoxia
Mouse___Tongue_12_Normoxia_	Mouse	Tongue	12	Normoxia
Mouse___Tongue_15_Hyperoxia	Mouse	Tongue	15	Hyperoxia
Mouse___Tongue_16_Hyperoxia	Mouse	Tongue	16	Hyperoxia
Mouse___Tongue_17_Hyperoxia	Mouse	Tongue	17	Hyperoxia
Mouse___Tongue_18_Hyperoxia	Mouse	Tongue	18	Hyperoxia
Mouse___Tongue_19_Hyperoxia	Mouse	Tongue	19	Hyperoxia
Mouse___Tongue_20_Hyperoxia	Mouse	Tongue	20	Hyperoxia
Mouse___Tongue_21_Hyperoxia	Mouse	Tongue	21	Hyperoxia
Mouse___Tongue_22_Hyperoxia	Mouse	Tongue	22	Hyperoxia
Mouse___Tongue_23_Hyperoxia	Mouse	Tongue	23	Hyperoxia
