specimen	negative_status	tissue_type	duration	mouse_id	oxygen
negative_AE_____XX_01	negative	AE____	XX	1	
negative_AE_____XX_02	negative	AE____	XX	2	
negative_AE_____XX_03	negative	AE____	XX	3	
negative_AE_____XX_04	negative	AE____	XX	4	
negative_AE_____XX_05	negative	AE____	XX	5	
negative_AE_____XX_06	negative	AE____	XX	6	
negative_blank__XX_01	negative	blank_	XX	1	
negative_blank__XX_02	negative	blank_	XX	2	
negative_blank__XX_03	negative	blank_	XX	3	
negative_blank__XX_04	negative	blank_	XX	4	
negative_blank__XX_05	negative	blank_	XX	5	
negative_blank__XX_06	negative	blank_	XX	6	
negative_blank__XX_07	negative	blank_	XX	7	
negative_blank__XX_08	negative	blank_	XX	8	
negative_blank__XX_09	negative	blank_	XX	9	
negative_blank__XX_10	negative	blank_	XX	10	
negative_blank__XX_11	negative	blank_	XX	11	
negative_blank__XX_12	negative	blank_	XX	12	
negative_blank__XX_13	negative	blank_	XX	13	
negative_blank__XX_14	negative	blank_	XX	14	
negative_blank__XX_15	negative	blank_	XX	15	
negative_blank__XX_16	negative	blank_	XX	16	
negative_blank__XX_17	negative	blank_	XX	17	
negative_blank__XX_18	negative	blank_	XX	18	
negative_blank__XX_19	negative	blank_	XX	19	
negative_blank__XX_20	negative	blank_	XX	20	
negative_blank__XX_21	negative	blank_	XX	21	
negative_blank__XX_22	negative	blank_	XX	22	
negative_blank__XX_23	negative	blank_	XX	23	
negative_blank__XX_24	negative	blank_	XX	24	
negative_blank__XX_25	negative	blank_	XX	25	
negative_blank__XX_26	negative	blank_	XX	26	
negative_blank__XX_27	negative	blank_	XX	27	
negative_blank__XX_28	negative	blank_	XX	28	
negative_blank__XX_29	negative	blank_	XX	29	
negative_blank__XX_30	negative	blank_	XX	30	
negative_blank__XX_31	negative	blank_	XX	31	
negative_isolat_XX_01	negative	isolat	XX	1	
negative_isolat_XX_02	negative	isolat	XX	2	
negative_isolat_XX_03	negative	isolat	XX	3	
negative_isolat_XX_04	negative	isolat	XX	4	
negative_isolat_XX_05	negative	isolat	XX	5	
mock_____mock___XX_01	mock____	mock__	XX	1	
mock_____mock___XX_02	mock____	mock__	XX	2	
negative_homog__XX_01	negative	homog_	XX	1	
negative_homog__XX_02	negative	homog_	XX	2	
negative_homog__XX_03	negative	homog_	XX	3	
negative_homog__XX_04	negative	homog_	XX	4	
tissue___lung___00_01	tissue__	lung__	Unexposed	1	Unexposed
tissue___lung___00_02	tissue__	lung__	Unexposed	2	Unexposed
tissue___lung___00_03	tissue__	lung__	Unexposed	3	Unexposed
tissue___lung___00_04	tissue__	lung__	Unexposed	4	Unexposed
tissue___lung___00_05	tissue__	lung__	Unexposed	5	Unexposed
tissue___lung___24_01	tissue__	lung__	24 hours	1	Oxygen_treated
tissue___lung___24_02	tissue__	lung__	24 hours	2	Oxygen_treated
tissue___lung___24_03	tissue__	lung__	24 hours	3	Oxygen_treated
tissue___lung___24_04	tissue__	lung__	24 hours	4	Oxygen_treated
tissue___lung___24_05	tissue__	lung__	24 hours	5	Oxygen_treated
tissue___lung___48_01	tissue__	lung__	48 hours	1	Oxygen_treated
tissue___lung___48_02	tissue__	lung__	48 hours	2	Oxygen_treated
tissue___lung___48_03	tissue__	lung__	48 hours	3	Oxygen_treated
tissue___lung___48_04	tissue__	lung__	48 hours	4	Oxygen_treated
tissue___lung___48_05	tissue__	lung__	48 hours	5	Oxygen_treated
tissue___lung___72_01	tissue__	lung__	72 hours	1	Oxygen_treated
tissue___lung___72_02	tissue__	lung__	72 hours	2	Oxygen_treated
tissue___lung___72_03	tissue__	lung__	72 hours	3	Oxygen_treated
tissue___lung___72_04	tissue__	lung__	72 hours	4	Oxygen_treated
tissue___lung___72_05	tissue__	lung__	72 hours	5	Oxygen_treated
negative_water__XX_01	negative	water_	XX	1	
negative_water__XX_02	negative	water_	XX	2	
