specimen	original_order	reagent_status	tissue_type	vendor	shipment	duration	mouse	IL1a	IL4	IL17	TNFa	log_IL1a	log_IL4	log_IL17	log_TNFa
control_AE_____XXXXXXX_XXX_XX_01	1	control	AE	XXXXXXX	XXX	XX	1								
control_AE_____XXXXXXX_XXX_XX_02	2	control	AE	XXXXXXX	XXX	XX	2								
control_AE_____XXXXXXX_XXX_XX_03	3	control	AE	XXXXXXX	XXX	XX	3								
control_AE_____XXXXXXX_XXX_XX_04	4	control	AE	XXXXXXX	XXX	XX	4								
control_AE_____XXXXXXX_XXX_XX_05	5	control	AE	XXXXXXX	XXX	XX	5								
control_AE_____XXXXXXX_XXX_XX_06	6	control	AE	XXXXXXX	XXX	XX	6								
control_AE_____XXXXXXX_XXX_XX_07	7	control	AE	XXXXXXX	XXX	XX	7								
control_AE_____XXXXXXX_XXX_XX_08	8	control	AE	XXXXXXX	XXX	XX	8								
control_blank__XXXXXXX_XXX_XX_01	9	control	blank	XXXXXXX	XXX	XX	1								
control_blank__XXXXXXX_XXX_XX_02	10	control	blank	XXXXXXX	XXX	XX	2								
control_blank__XXXXXXX_XXX_XX_03	11	control	blank	XXXXXXX	XXX	XX	3								
control_blank__XXXXXXX_XXX_XX_04	12	control	blank	XXXXXXX	XXX	XX	4								
control_blank__XXXXXXX_XXX_XX_05	13	control	blank	XXXXXXX	XXX	XX	5								
control_blank__XXXXXXX_XXX_XX_07	14	control	blank	XXXXXXX	XXX	XX	7								
control_blank__XXXXXXX_XXX_XX_08	15	control	blank	XXXXXXX	XXX	XX	8								
control_blank__XXXXXXX_XXX_XX_06	16	control	blank	XXXXXXX	XXX	XX	6								
control_blank__XXXXXXX_XXX_XX_10	17	control	blank	XXXXXXX	XXX	XX	10								
control_blank__XXXXXXX_XXX_XX_11	18	control	blank	XXXXXXX	XXX	XX	11								
control_blank__XXXXXXX_XXX_XX_09	19	control	blank	XXXXXXX	XXX	XX	9								
control_blank__XXXXXXX_XXX_XX_12	20	control	blank	XXXXXXX	XXX	XX	12								
